periodo,indice,region
2006-12-31 23:00:00,70.93,Andalucía
2007-03-31 22:00:00,73.062,Andalucía
2007-06-30 22:00:00,74.761,Andalucía
2007-09-30 22:00:00,75.789,Andalucía
2007-12-31 23:00:00,75.77,Andalucía
2008-03-31 22:00:00,75.45,Andalucía
2008-06-30 22:00:00,75.552,Andalucía
2008-09-30 22:00:00,73.59,Andalucía
2008-12-31 23:00:00,72.839,Andalucía
2009-03-31 22:00:00,72.939,Andalucía
2009-06-30 22:00:00,72.52,Andalucía
2009-09-30 22:00:00,72.304,Andalucía
2009-12-31 23:00:00,71.644,Andalucía
2010-03-31 22:00:00,72.612,Andalucía
2010-06-30 22:00:00,70.951,Andalucía
2010-09-30 22:00:00,70.808,Andalucía
2010-12-31 23:00:00,68.585,Andalucía
2011-03-31 22:00:00,68.561,Andalucía
2011-06-30 22:00:00,66.94,Andalucía
2011-09-30 22:00:00,64.889,Andalucía
2011-12-31 23:00:00,61.879,Andalucía
2012-03-31 22:00:00,59.565,Andalucía
2012-06-30 22:00:00,58.396,Andalucía
2012-09-30 22:00:00,57.412,Andalucía
2012-12-31 23:00:00,54.312,Andalucía
2013-03-31 22:00:00,53.897,Andalucía
2013-06-30 22:00:00,54.382,Andalucía
2013-09-30 22:00:00,53.8,Andalucía
2013-12-31 23:00:00,53.316,Andalucía
2014-03-31 22:00:00,54.26,Andalucía
2014-06-30 22:00:00,54.407,Andalucía
2014-09-30 22:00:00,54.751,Andalucía
2014-12-31 23:00:00,53.938,Andalucía
2015-03-31 22:00:00,56.15,Andalucía
2015-06-30 22:00:00,56.783,Andalucía
2015-09-30 22:00:00,56.39,Andalucía
2015-12-31 23:00:00,56.881,Andalucía
2016-03-31 22:00:00,57.602,Andalucía
2016-06-30 22:00:00,57.552,Andalucía
2016-09-30 22:00:00,57.569,Andalucía
2016-12-31 23:00:00,58.076,Andalucía
2017-03-31 22:00:00,58.983,Andalucía
2017-06-30 22:00:00,59.674,Andalucía
